Movie,URL
Texas Chainsaw 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=texaschainsaw3d.htm
Lords of Salem,http://www.boxofficemojo.com/movies/?page=weekend&id=lordsofsalem.htm
The Last Exorcism,http://www.boxofficemojo.com/movies/?page=weekly&id=lastexorcism.htm
The Last Exorcism 2,http://www.boxofficemojo.com/movies/?page=weekly&id=lastexorcism2.htm
The Devil Inside,http://www.boxofficemojo.com/movies/?page=weekly&id=devilinside.htm
The Possession,http://www.boxofficemojo.com/movies/?page=weekly&id=dibbukbox.htm
House at the End of the Street,http://www.boxofficemojo.com/movies/?page=weekly&id=houseattheendofthestreet.htm
Chernobyl Diaries,http://www.boxofficemojo.com/movies/?page=weekly&id=chernobyldiaries.htm
Silent Hill 2,http://www.boxofficemojo.com/movies/?page=weekly&id=silenthill2.htm
Silent House,http://www.boxofficemojo.com/movies/?page=weekly&id=silenthouse.htm
The Collection,http://www.boxofficemojo.com/movies/?page=weekly&id=collection.htm
The Apparition,http://www.boxofficemojo.com/movies/?page=weekly&id=apparition.htm
Final Destination 4,http://www.boxofficemojo.com/movies/?page=weekly&id=finaldestination4.htm
Final Destination 5,http://www.boxofficemojo.com/movies/?page=weekly&id=finaldestination5.htm
Scream 4,http://www.boxofficemojo.com/movies/?page=weekly&id=scream4.htm
The Rite,http://www.boxofficemojo.com/movies/?page=weekly&id=rite.htm
Priest,http://www.boxofficemojo.com/movies/?page=weekly&id=priest07.htm
Don't Be Afraid of the Dark,http://www.boxofficemojo.com/movies/?page=weekly&id=dontbeafraidofthedark.htm
Dream House,http://www.boxofficemojo.com/movies/?page=weekly&id=dreamhouse.htm
Shark Night 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=shark3d.htm
Fright Night,http://www.boxofficemojo.com/movies/?page=weekly&id=frightnight2011.htm
The Thing,http://www.boxofficemojo.com/movies/?page=weekly&id=thing11.htm
A Nightmare on Elm Street,http://www.boxofficemojo.com/movies/?page=weekly&id=nightmareonelmstreet10.htm
The Wolfman,http://www.boxofficemojo.com/movies/?page=weekly&id=wolfman.htm
The Crazies,http://www.boxofficemojo.com/movies/?page=weekly&id=crazies.htm
Devil,http://www.boxofficemojo.com/movies/?page=weekly&id=nightchroniclesdevil.htm
Daybreakers,http://www.boxofficemojo.com/movies/?page=weekly&id=daybreakers.htm
Piranha 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=piranha3d.htm
Splice,http://www.boxofficemojo.com/movies/?page=weekly&id=splice.htm
My Soul to Take,http://www.boxofficemojo.com/movies/?page=weekly&id=mysoultotake.htm
